name,playcount,listeners,mbid,url,streamable,image/0/#text,image/0/size,image/1/#text,image/1/size,image/2/#text,image/2/size,image/3/#text,image/3/size,image/4/#text,image/4/size
Paul Simon,39168,12837,05517043-ff78-4988-9c22-88c68588ebb9,http://www.last.fm/music/Paul+Simon,0,http://userserve-ak.last.fm/serve/34/46597717.png,small,http://userserve-ak.last.fm/serve/64/46597717.png,medium,http://userserve-ak.last.fm/serve/126/46597717.png,large,http://userserve-ak.last.fm/serve/252/46597717.png,extralarge,http://userserve-ak.last.fm/serve/_/46597717/Paul+Simon+Paul.png,mega
Lynyrd Skynyrd,36120,12784,98198195-ef1f-4c2c-b74d-5d98505cdd4f,http://www.last.fm/music/Lynyrd+Skynyrd,0,http://userserve-ak.last.fm/serve/34/2245255.jpg,small,http://userserve-ak.last.fm/serve/64/2245255.jpg,medium,http://userserve-ak.last.fm/serve/126/2245255.jpg,large,http://userserve-ak.last.fm/serve/252/2245255.jpg,extralarge,http://userserve-ak.last.fm/serve/_/2245255/Lynyrd+Skynyrd.jpg,mega
Empire of the Sun,32381,12749,ac7e838c-3d95-47c2-92a9-81767ad7c217,http://www.last.fm/music/Empire+of+the+Sun,0,http://userserve-ak.last.fm/serve/34/87652115.png,small,http://userserve-ak.last.fm/serve/64/87652115.png,medium,http://userserve-ak.last.fm/serve/126/87652115.png,large,http://userserve-ak.last.fm/serve/252/87652115.png,extralarge,http://userserve-ak.last.fm/serve/500/87652115/Empire+of+the+Sun+PNG.png,mega
SBTRKT,45632,12722,7f2aa196-cfd4-4a3d-ace3-28b7b6a79af7,http://www.last.fm/music/SBTRKT,0,http://userserve-ak.last.fm/serve/34/79694767.png,small,http://userserve-ak.last.fm/serve/64/79694767.png,medium,http://userserve-ak.last.fm/serve/126/79694767.png,large,http://userserve-ak.last.fm/serve/252/79694767.png,extralarge,http://userserve-ak.last.fm/serve/500/79694767/SBTRKT+_PNG_040712_01.png,mega
Breaking Benjamin,66034,12696,854a1807-025b-42a8-ba8c-2a39717f1d25,http://www.last.fm/music/Breaking+Benjamin,0,http://userserve-ak.last.fm/serve/34/379764.jpg,small,http://userserve-ak.last.fm/serve/64/379764.jpg,medium,http://userserve-ak.last.fm/serve/126/379764.jpg,large,http://userserve-ak.last.fm/serve/252/379764.jpg,extralarge,http://userserve-ak.last.fm/serve/_/379764/Breaking+Benjamin.jpg,mega
LCD Soundsystem,45299,12694,2aaf7396-6ab8-40f3-9776-a41c42c8e26b,http://www.last.fm/music/LCD+Soundsystem,0,http://userserve-ak.last.fm/serve/34/44323287.png,small,http://userserve-ak.last.fm/serve/64/44323287.png,medium,http://userserve-ak.last.fm/serve/126/44323287.png,large,http://userserve-ak.last.fm/serve/252/44323287.png,extralarge,http://userserve-ak.last.fm/serve/_/44323287/LCD+Soundsystem+James.png,mega
Pendulum,52544,12652,2030e776-73b2-4cf8-8c15-813e801f8151,http://www.last.fm/music/Pendulum,0,http://userserve-ak.last.fm/serve/34/12021405.jpg,small,http://userserve-ak.last.fm/serve/64/12021405.jpg,medium,http://userserve-ak.last.fm/serve/126/12021405.jpg,large,http://userserve-ak.last.fm/serve/252/12021405.jpg,extralarge,http://userserve-ak.last.fm/serve/500/12021405/Pendulum.jpg,mega
Faith No More,79448,12637,b15ebd71-a252-417d-9e1c-3e6863da68f8,http://www.last.fm/music/Faith+No+More,0,http://userserve-ak.last.fm/serve/34/101992.jpg,small,http://userserve-ak.last.fm/serve/64/101992.jpg,medium,http://userserve-ak.last.fm/serve/126/101992.jpg,large,http://userserve-ak.last.fm/serve/252/101992.jpg,extralarge,http://userserve-ak.last.fm/serve/500/101992/Faith+No+More.jpg,mega
Judas Priest,82126,12618,6b335658-22c8-485d-93de-0bc29a1d0349,http://www.last.fm/music/Judas+Priest,0,http://userserve-ak.last.fm/serve/34/14113561.jpg,small,http://userserve-ak.last.fm/serve/64/14113561.jpg,medium,http://userserve-ak.last.fm/serve/126/14113561.jpg,large,http://userserve-ak.last.fm/serve/252/14113561.jpg,extralarge,http://userserve-ak.last.fm/serve/500/14113561/Judas+Priest+britishsteel395as0.jpg,mega
Elliott Smith,79090,12578,03ad1736-b7c9-412a-b442-82536d63a5c4,http://www.last.fm/music/Elliott+Smith,0,http://userserve-ak.last.fm/serve/34/6755857.jpg,small,http://userserve-ak.last.fm/serve/64/6755857.jpg,medium,http://userserve-ak.last.fm/serve/126/6755857.jpg,large,http://userserve-ak.last.fm/serve/252/6755857.jpg,extralarge,http://userserve-ak.last.fm/serve/_/6755857/Elliott+Smith+elliottguitarbw.jpg,mega
Megadeth,78904,12562,a9044915-8be3-4c7e-b11f-9e2d2ea0a91e,http://www.last.fm/music/Megadeth,0,http://userserve-ak.last.fm/serve/34/100238499.jpg,small,http://userserve-ak.last.fm/serve/64/100238499.jpg,medium,http://userserve-ak.last.fm/serve/126/100238499.jpg,large,http://userserve-ak.last.fm/serve/252/100238499.jpg,extralarge,http://userserve-ak.last.fm/serve/500/100238499/Megadeth+1604698_10152029114187330_5803.jpg,mega
Flying Lotus,86680,12540,fc7376fe-1a6f-4414-b4a7-83f50ed59c92,http://www.last.fm/music/Flying+Lotus,0,http://userserve-ak.last.fm/serve/34/42692263.jpg,small,http://userserve-ak.last.fm/serve/64/42692263.jpg,medium,http://userserve-ak.last.fm/serve/126/42692263.jpg,large,http://userserve-ak.last.fm/serve/252/42692263.jpg,extralarge,http://userserve-ak.last.fm/serve/500/42692263/Flying+Lotus+flylocrop.jpg,mega
Ludovico Einaudi,72392,12497,fa34b363-79df-434f-a5b8-be4e6898543f,http://www.last.fm/music/Ludovico+Einaudi,0,http://userserve-ak.last.fm/serve/34/96932717.jpg,small,http://userserve-ak.last.fm/serve/64/96932717.jpg,medium,http://userserve-ak.last.fm/serve/126/96932717.jpg,large,http://userserve-ak.last.fm/serve/252/96932717.jpg,extralarge,http://userserve-ak.last.fm/serve/500/96932717/Ludovico+Einaudi.jpg,mega
Eagles,39312,12449,c7fe8416-6a18-41dd-b636-3827503c34ea,http://www.last.fm/music/Eagles,0,http://userserve-ak.last.fm/serve/34/48180119.jpg,small,http://userserve-ak.last.fm/serve/64/48180119.jpg,medium,http://userserve-ak.last.fm/serve/126/48180119.jpg,large,http://userserve-ak.last.fm/serve/252/48180119.jpg,extralarge,http://userserve-ak.last.fm/serve/500/48180119/Eagles+000.jpg,mega
The Temper Trap,26451,12453,bb6eaced-69dd-4636-829f-9f987acc4fc3,http://www.last.fm/music/The+Temper+Trap,0,http://userserve-ak.last.fm/serve/34/39208173.png,small,http://userserve-ak.last.fm/serve/64/39208173.png,medium,http://userserve-ak.last.fm/serve/126/39208173.png,large,http://userserve-ak.last.fm/serve/252/39208173.png,extralarge,http://userserve-ak.last.fm/serve/500/39208173/The+Temper+Trap+PNG+Cropped+Version.png,mega
In Flames,100088,12465,31745282-b1ea-4d62-939f-226b14d68e7c,http://www.last.fm/music/In+Flames,0,http://userserve-ak.last.fm/serve/34/12732413.jpg,small,http://userserve-ak.last.fm/serve/64/12732413.jpg,medium,http://userserve-ak.last.fm/serve/126/12732413.jpg,large,http://userserve-ak.last.fm/serve/252/12732413.jpg,extralarge,http://userserve-ak.last.fm/serve/_/12732413/In+Flames++2.jpg,mega
The War on Drugs,53484,12459,87b9b3b8-ab93-426c-a200-4012d667a626,http://www.last.fm/music/The+War+on+Drugs,0,http://userserve-ak.last.fm/serve/34/78401420.jpg,small,http://userserve-ak.last.fm/serve/64/78401420.jpg,medium,http://userserve-ak.last.fm/serve/126/78401420.jpg,large,http://userserve-ak.last.fm/serve/252/78401420.jpg,extralarge,http://userserve-ak.last.fm/serve/500/78401420/The+War+on+Drugs+wodsa1.jpg,mega
Ozzy Osbourne,46653,12442,8aa5b65a-5b3c-4029-92bf-47a544356934,http://www.last.fm/music/Ozzy+Osbourne,0,http://userserve-ak.last.fm/serve/34/28161395.jpg,small,http://userserve-ak.last.fm/serve/64/28161395.jpg,medium,http://userserve-ak.last.fm/serve/126/28161395.jpg,large,http://userserve-ak.last.fm/serve/252/28161395.jpg,extralarge,http://userserve-ak.last.fm/serve/_/28161395/Ozzy+Osbourne+ozzybeforedrugs.jpg,mega
